Время,Канал A
(mс),(В)

-0.80591179,-0.50245670
-0.80559179,-0.52009640
-0.80527179,-0.52009640
-0.80495179,-0.52009640
-0.80463179,-0.52009640
-0.80431179,-0.52009640
-0.80399179,-0.50245670
-0.80367179,-0.48481700
-0.80335179,-0.46723840
-0.80303179,-0.43195900
-0.80271179,-0.39674060
-0.80239179,-0.36152230
-0.80207179,-0.32624290
-0.80175179,-0.27338480
-0.80143179,-0.23816650
-0.80111179,-0.20294810
-0.80079179,-0.15009000
-0.80047179,-0.07959227
-0.80015179,-0.04437391
-0.79983179,0.02612384
-0.79951179,0.06134221
-0.79919179,0.11420030
-0.79887179,0.16705830
-0.79855179,0.20227670
-0.79823179,0.25513470
-0.79791179,0.29035310
-0.79759179,0.34321110
-0.79727179,0.37849060
-0.79695179,0.41370890
-0.79663179,0.43134860
-0.79631179,0.46656700
-0.79599179,0.48420670
-0.79567179,0.50178530
-0.79535179,0.50178530
-0.79503179,0.51942500
-0.79471179,0.50178530
-0.79439179,0.50178530
-0.79407179,0.48420670
-0.79375179,0.48420670
-0.79343179,0.44892730
-0.79311179,0.43134860
-0.79279179,0.39606920
-0.79247179,0.36085090
-0.79215179,0.32563250
-0.79183179,0.29035310
-0.79151179,0.25513470
-0.79119179,0.20227670
-0.79087179,0.14941860
-0.79055179,0.09656057
-0.79023179,0.06134221
-0.78991179,0.00848415
-0.78959179,-0.04437391
-0.78927179,-0.09723197
-0.78895179,-0.13245030
-0.78863179,-0.18530840
-0.78831179,-0.23816650
-0.78799179,-0.29102450
-0.78767179,-0.30866420
-0.78735179,-0.36152230
-0.78703179,-0.37910090
-0.78671179,-0.41438030
-0.78639179,-0.44959870
-0.78607179,-0.46723840
-0.78575179,-0.48481700
-0.78543179,-0.50245670
-0.78511179,-0.50245670
-0.78479179,-0.50245670
-0.78447179,-0.50245670
-0.78415179,-0.48481700
-0.78383179,-0.46723840
-0.78351179,-0.44959870
-0.78319179,-0.43195900
-0.78287179,-0.39674060
-0.78255179,-0.36152230
-0.78223179,-0.32624290
-0.78191179,-0.29102450
-0.78159179,-0.25580610
-0.78127179,-0.20294810
-0.78095179,-0.16766870
-0.78063179,-0.11481060
-0.78031179,-0.06195258
-0.77999179,-0.00909452
-0.77967179,0.04376354
-0.77935179,0.07892086
-0.77903179,0.13177890
-0.77871179,0.18463700
-0.77839179,0.23749500
-0.77807179,0.27277440
-0.77775179,0.30799280
-0.77743179,0.34321110
-0.77711179,0.37849060
-0.77679179,0.41370890
-0.77647179,0.44892730
-0.77615179,0.46656700
-0.77583179,0.48420670
-0.77551179,0.48420670
-0.77519179,0.50178530
-0.77487179,0.50178530
-0.77455179,0.48420670
-0.77423179,0.48420670
-0.77391179,0.48420670
-0.77359179,0.46656700
-0.77327179,0.44892730
-0.77295179,0.41370890
-0.77263179,0.37849060
-0.77231179,0.34321110
-0.77199179,0.30799280
-0.77167179,0.27277440
-0.77135179,0.21991640
-0.77103179,0.18463700
-0.77071179,0.13177890
-0.77039179,0.07892086
-0.77007179,0.02612384
-0.76975179,-0.00909452
-0.76943179,-0.06195258
-0.76911179,-0.11481060
-0.76879179,-0.16766870
-0.76847179,-0.22052680
-0.76815179,-0.25580610
-0.76783179,-0.29102450
-0.76751179,-0.34388260
-0.76719179,-0.37910090
-0.76687179,-0.39674060
-0.76655179,-0.43195900
-0.76623179,-0.44959870
-0.76591179,-0.48481700
-0.76559179,-0.48481700
-0.76527179,-0.50245670
-0.76495179,-0.50245670
-0.76463179,-0.50245670
-0.76431179,-0.50245670
-0.76399179,-0.48481700
-0.76367179,-0.46723840
-0.76335179,-0.44959870
-0.76303179,-0.43195900
-0.76271179,-0.39674060
-0.76239179,-0.36152230
-0.76207179,-0.32624290
-0.76175179,-0.27338480
-0.76143179,-0.23816650
-0.76111179,-0.18530840
-0.76079179,-0.15009000
-0.76047179,-0.07959227
-0.76015179,-0.02673421
-0.75983179,0.00848415
-0.75951179,0.06134221
-0.75919179,0.11420030
-0.75887179,0.14941860
-0.75855179,0.20227670
-0.75823179,0.25513470
-0.75791179,0.29035310
-0.75759179,0.34321110
-0.75727179,0.37849060
-0.75695179,0.41370890
-0.75663179,0.44892730
-0.75631179,0.46656700
-0.75599179,0.48420670
-0.75567179,0.51942500
-0.75535179,0.51942500
-0.75503179,0.51942500
-0.75471179,0.51942500
-0.75439179,0.51942500
-0.75407179,0.50178530
-0.75375179,0.48420670
-0.75343179,0.46656700
-0.75311179,0.44892730
-0.75279179,0.41370890
-0.75247179,0.37849060
-0.75215179,0.34321110
-0.75183179,0.30799280
-0.75151179,0.25513470
-0.75119179,0.20227670
-0.75087179,0.14941860
-0.75055179,0.11420030
-0.75023179,0.06134221
-0.74991179,0.00848415
-0.74959179,-0.04437391
-0.74927179,-0.09723197
-0.74895179,-0.15009000
-0.74863179,-0.20294810
-0.74831179,-0.25580610
-0.74799179,-0.30866420
-0.74767179,-0.34388260
-0.74735179,-0.37910090
-0.74703179,-0.41438030
-0.74671179,-0.44959870
-0.74639179,-0.48481700
-0.74607179,-0.50245670
-0.74575179,-0.52009640
-0.74543179,-0.53767510
-0.74511179,-0.53767510
-0.74479179,-0.53767510
-0.74447179,-0.53767510
-0.74415179,-0.52009640
-0.74383179,-0.50245670
-0.74351179,-0.50245670
-0.74319179,-0.46723840
-0.74287179,-0.43195900
-0.74255179,-0.41438030
-0.74223179,-0.36152230
-0.74191179,-0.32624290
-0.74159179,-0.27338480
-0.74127179,-0.22052680
-0.74095179,-0.18530840
-0.74063179,-0.13245030
-0.74031179,-0.06195258
-0.73999179,-0.00909452
-0.73967179,0.04376354
-0.73935179,0.09656057
-0.73903179,0.14941860
-0.73871179,0.20227670
-0.73839179,0.25513470
-0.73807179,0.30799280
-0.73775179,0.34321110
-0.73743179,0.39606920
-0.73711179,0.43134860
-0.73679179,0.46656700
-0.73647179,0.50178530
-0.73615179,0.53706470
-0.73583179,0.55464340
-0.73551179,0.55464340
-0.73519179,0.57228310
-0.73487179,0.57228310
-0.73455179,0.57228310
-0.73423179,0.57228310
-0.73391179,0.55464340
-0.73359179,0.53706470
-0.73327179,0.50178530
-0.73295179,0.48420670
-0.73263179,0.44892730
-0.73231179,0.41370890
-0.73199179,0.34321110
-0.73167179,0.30799280
-0.73135179,0.25513470
-0.73103179,0.20227670
-0.73071179,0.14941860
-0.73039179,0.09656057
-0.73007179,0.04376354
-0.72975179,-0.02673421
-0.72943179,-0.07959227
-0.72911179,-0.15009000
-0.72879179,-0.20294810
-0.72847179,-0.25580610
-0.72815179,-0.30866420
-0.72783179,-0.36152230
-0.72751179,-0.41438030
-0.72719179,-0.44959870
-0.72687179,-0.48481700
-0.72655179,-0.52009640
-0.72623179,-0.53767510
-0.72591179,-0.57295450
-0.72559179,-0.57295450
-0.72527179,-0.59053310
-0.72495179,-0.59053310
-0.72463179,-0.60817280
-0.72431179,-0.59053310
-0.72399179,-0.57295450
-0.72367179,-0.55531480
-0.72335179,-0.53767510
-0.72303179,-0.50245670
-0.72271179,-0.46723840
-0.72239179,-0.43195900
-0.72207179,-0.39674060
-0.72175179,-0.34388260
-0.72143179,-0.27338480
-0.72111179,-0.22052680
-0.72079179,-0.16766870
-0.72047179,-0.11481060
-0.72015179,-0.04437391
-0.71983179,0.00848415
-0.71951179,0.07892086
-0.71919179,0.14941860
-0.71887179,0.20227670
-0.71855179,0.27277440
-0.71823179,0.32563250
-0.71791179,0.37849060
-0.71759179,0.43134860
-0.71727179,0.46656700
-0.71695179,0.50178530
-0.71663179,0.55464340
-0.71631179,0.58992280
-0.71599179,0.62514110
-0.71567179,0.62514110
-0.71535179,0.64278080
-0.71503179,0.66035950
-0.71471179,0.66035950
-0.71439179,0.66035950
-0.71407179,0.64278080
-0.71375179,0.62514110
-0.71343179,0.58992280
-0.71311179,0.55464340
-0.71279179,0.51942500
-0.71247179,0.48420670
-0.71215179,0.43134860
-0.71183179,0.37849060
-0.71151179,0.32563250
-0.71119179,0.27277440
-0.71087179,0.20227670
-0.71055179,0.13177890
-0.71023179,0.06134221
-0.70991179,0.00848415
-0.70959179,-0.06195258
-0.70927179,-0.13245030
-0.70895179,-0.18530840
-0.70863179,-0.25580610
-0.70831179,-0.32624290
-0.70799179,-0.37910090
-0.70767179,-0.43195900
-0.70735179,-0.48481700
-0.70703179,-0.53767510
-0.70671179,-0.57295450
-0.70639179,-0.62581250
-0.70607179,-0.64339120
-0.70575179,-0.66103090
-0.70543179,-0.69624920
-0.70511179,-0.69624920
-0.70479179,-0.69624920
-0.70447179,-0.69624920
-0.70415179,-0.67867060
-0.70383179,-0.66103090
-0.70351179,-0.64339120
-0.70319179,-0.59053310
-0.70287179,-0.55531480
-0.70255179,-0.52009640
-0.70223179,-0.48481700
-0.70191179,-0.41438030
-0.70159179,-0.36152230
-0.70127179,-0.29102450
-0.70095179,-0.22052680
-0.70063179,-0.15009000
-0.70031179,-0.07959227
